id,name,age,sex,type,committee,representation,position,date,education
TH,Thomas Hitzlsperger,38,1,0,1,S ,1,2019,4
SH,Stefan Heim,50,1,0,1,F,3,2015,3
JR,Jochen Röttgermann,54,1,0,1,M,3,2015,2
OS,Oliver Schraft,53,1,0,1,K,3,2015,3
CV,Claus Vogt,51,1,0,2,NA,1,2019,1
WP,Wilfried Porth,62,1,0,2,NA,2,2015,1
RA,Rainer Adrion,67,1,0,2,NA,3,2020,2
BG,Dr. Bernd Gaiser,59,1,0,2,NA,3,2017,1
HJ,Hartmut Jenner,55,1,0,2,NA,2,2014,2
HO,Hermann Ohlicher,71,1,0,2,NA,3,2016,1
FR,Franz Reiner,53,1,0,2,NA,3,2016,1
BS,Dr. Bertram Sugg,54,1,0,2,NA,3,2017,3
AV,Aufsichtsrat Vfb,NA,NA,1,2,NA,NA,NA,NA
VV,Vorstand Vfb,NA,NA,1,1,NA,NA,NA,NA
PV,Präsidium Vfb,NA,NA,1,2,NA,NA,NA,NA
NV,Nachwuchsleistungszentrum Vfb,NA,NA,1,1,NA,NA,NA,NA
RW,VfB Reha-Welt GmbH,NA,NA,1,1,NA,NA,NA,NA
NP,Stadion NeckarPark GmbH & Co. KG,NA,NA,1,1,NA,NA,NA,NA
SA,VfB Stuttgart Arena Betriebs GmbH,NA,NA,1,1,NA,NA,NA,NA
SM,VfB Stuttgart Marketing GmbH,NA,NA,1,1,NA,NA,NA,NA
SB,VfB Stuttgart Beteiligungs-GmbH,NA,NA,1,1,NA,NA,NA,NA
WF,Württembergischer Fußballverband,NA,NA,1,1,NA,NA,NA,NA
KC,Kommission Clubmedien DFL,NA,NA,1,1,NA,NA,NA,NA
PF,FC PlayFair!,NA,NA,1,2,NA,NA,NA,NA
DA,Daimler AG,NA,NA,1,2,NA,NA,NA,NA
AK,Alfred Kärcher SE & Co. KG,NA,NA,1,2,NA,NA,NA,NA
AF,Alfred-Kärcher-Förderstiftung.,NA,NA,1,2,NA,NA,NA,NA
RB,Robert Bosch GmbH,NA,NA,1,2,NA,NA,NA,NA
FG,Fanclub Courage Gerlingen,NA,NA,1,2,NA,NA,NA,NA
VD,Verband für Sportökonomie und Sportmanagement,NA,NA,1,1,NA,NA,NA,NA
